Time [hrs],Shift 1,Time [hrs],Shift 2
30,0.045,25,0.045
40,0.05,35,0.047
55,0.05,50,0.046
82,0.051,77,0.047
118,0.05,113,0.047
196,0.05,191,0.047
285,0.049,280,0.048
303,0.05,298,0.049
322,0.053,317,0.048
343,0.057,338,0.057
369,0.058,364,0.057
400,0.077,395,0.076
425,0.087,420,0.084
440,0.106,435,0.093
455,0.113,462,0.113
467,0.13,503,0.16
508,0.175,517,0.18
522,0.213,534,0.206
539,0.242,547,0.232
552,0.267,573,0.284
578,0.318,589,0.32
594,0.361,597,0.35
602,0.389,609,0.387
614,0.429,617,0.411
622,0.457,628,0.451
633,0.491,635,0.476
640,0.515,647,0.512