Time [hrs],Shift 1,Shift 2,Shift 3
0.25,1,,
0.55,1.01292,,
1.633333,1.041344,,
1.85,1.007752,,
3.833333,1.131783,,
4.05,1.211886,,
0.233333,,1,
0.5,,1.025794,
1.233333,,1.037698,
1.566667,,1.045635,
2.833333,,1.011905,
3.616667,,1.075397,
3.916667,,1.128968,
0.26,,,1
0.63,,,1.011299
0.96,,,1.042373
1.31,,,1.050847
1.63,,,1.045198
1.98,,,1.028249
2.3,,,1.028249
2.63,,,1.028249
2.96,,,1.039548
3.38,,,1.050847
3.78,,,1.10452
4.16,,,1.144068
4.56,,,1.20904
4.95,,,1.367232
5.28,,,1.454802
5.65,,,1.615819